file_path,line,scope,name,value,dtype,kind,context_before,context_line,context_after,has_citation_in_context,citation_author,citation_year,has_todo_fixme
brain/dimensions/pool.py,39,module,_PREDICTION_ACCURACY,20,int,module-assign,_SPECTRAL_COMPLEXITY = 16 |  | # F2 Prediction,_PREDICTION_ACCURACY = 20,_INFORMATION_CONTENT = 25 |  | # F3 Attention,0,,,0
brain/dimensions/pool.py,40,module,_INFORMATION_CONTENT,25,int,module-assign, | # F2 Prediction | _PREDICTION_ACCURACY = 20,_INFORMATION_CONTENT = 25, | # F3 Attention | _SENSORY_LOAD = 35,0,,,0
brain/dimensions/pool.py,43,module,_SENSORY_LOAD,35,int,module-assign,_INFORMATION_CONTENT = 25 |  | # F3 Attention,_SENSORY_LOAD = 35,_ATTENTION_CAPTURE = 36 | _BEAT_SALIENCE = 42 | _SELECTIVE_GAIN = 46,0,,,0
brain/dimensions/pool.py,44,module,_ATTENTION_CAPTURE,36,int,module-assign, | # F3 Attention | _SENSORY_LOAD = 35,_ATTENTION_CAPTURE = 36,_BEAT_SALIENCE = 42 | _SELECTIVE_GAIN = 46 | ,0,,,0
brain/dimensions/pool.py,45,module,_BEAT_SALIENCE,42,int,module-assign,# F3 Attention | _SENSORY_LOAD = 35 | _ATTENTION_CAPTURE = 36,_BEAT_SALIENCE = 42,_SELECTIVE_GAIN = 46 |  | # F4 Memory,0,,,0
brain/dimensions/pool.py,46,module,_SELECTIVE_GAIN,46,int,module-assign,_SENSORY_LOAD = 35 | _ATTENTION_CAPTURE = 36 | _BEAT_SALIENCE = 42,_SELECTIVE_GAIN = 46, | # F4 Memory | _EPISODIC_TRIGGER = 50,0,,,0
brain/dimensions/pool.py,49,module,_EPISODIC_TRIGGER,50,int,module-assign,_SELECTIVE_GAIN = 46 |  | # F4 Memory,_EPISODIC_TRIGGER = 50,_NOSTALGIA_SIGNAL = 53 | _AUTOBIOGRAPHICAL = 55 | ,0,,,0
brain/dimensions/pool.py,50,module,_NOSTALGIA_SIGNAL,53,int,module-assign, | # F4 Memory | _EPISODIC_TRIGGER = 50,_NOSTALGIA_SIGNAL = 53,_AUTOBIOGRAPHICAL = 55 |  | # F5 Emotion,0,,,0
brain/dimensions/pool.py,51,module,_AUTOBIOGRAPHICAL,55,int,module-assign,# F4 Memory | _EPISODIC_TRIGGER = 50 | _NOSTALGIA_SIGNAL = 53,_AUTOBIOGRAPHICAL = 55, | # F5 Emotion | _CHILLS_PREP = 60,1,chi,,0
brain/dimensions/pool.py,54,module,_CHILLS_PREP,60,int,module-assign,_AUTOBIOGRAPHICAL = 55 |  | # F5 Emotion,_CHILLS_PREP = 60,_CHILLS_PEAK = 61 | _EMOTIONAL_AROUSAL = 63 | _PERCEIVED_HAPPY = 67,1,chi,,0
brain/dimensions/pool.py,55,module,_CHILLS_PEAK,61,int,module-assign, | # F5 Emotion | _CHILLS_PREP = 60,_CHILLS_PEAK = 61,_EMOTIONAL_AROUSAL = 63 | _PERCEIVED_HAPPY = 67 | _PERCEIVED_SAD = 68,1,chi,,0
brain/dimensions/pool.py,56,module,_EMOTIONAL_AROUSAL,63,int,module-assign,# F5 Emotion | _CHILLS_PREP = 60 | _CHILLS_PEAK = 61,_EMOTIONAL_AROUSAL = 63,_PERCEIVED_HAPPY = 67 | _PERCEIVED_SAD = 68 | _NOSTALGIA_EMOTION = 70,1,chi,,0
brain/dimensions/pool.py,57,module,_PERCEIVED_HAPPY,67,int,module-assign,_CHILLS_PREP = 60 | _CHILLS_PEAK = 61 | _EMOTIONAL_AROUSAL = 63,_PERCEIVED_HAPPY = 67,_PERCEIVED_SAD = 68 | _NOSTALGIA_EMOTION = 70 | ,1,chi,,0
brain/dimensions/pool.py,58,module,_PERCEIVED_SAD,68,int,module-assign,_CHILLS_PEAK = 61 | _EMOTIONAL_AROUSAL = 63 | _PERCEIVED_HAPPY = 67,_PERCEIVED_SAD = 68,_NOSTALGIA_EMOTION = 70 |  | # F6 Reward,1,chi,,0
brain/dimensions/pool.py,59,module,_NOSTALGIA_EMOTION,70,int,module-assign,_EMOTIONAL_AROUSAL = 63 | _PERCEIVED_HAPPY = 67 | _PERCEIVED_SAD = 68,_NOSTALGIA_EMOTION = 70, | # F6 Reward | _WANTING_DA = 74,0,,,0
brain/dimensions/pool.py,62,module,_WANTING_DA,74,int,module-assign,_NOSTALGIA_EMOTION = 70 |  | # F6 Reward,_WANTING_DA = 74,_REWARD_PE = 75 | _ANTICIPATION = 79 | _DISSONANCE_TENSION = 80,0,,,0
brain/dimensions/pool.py,63,module,_REWARD_PE,75,int,module-assign, | # F6 Reward | _WANTING_DA = 74,_REWARD_PE = 75,_ANTICIPATION = 79 | _DISSONANCE_TENSION = 80 | _LIKING = 81,0,,,0
brain/dimensions/pool.py,64,module,_ANTICIPATION,79,int,module-assign,# F6 Reward | _WANTING_DA = 74 | _REWARD_PE = 75,_ANTICIPATION = 79,_DISSONANCE_TENSION = 80 | _LIKING = 81 | _CONSUMMATION = 83,0,,,0
brain/dimensions/pool.py,65,module,_DISSONANCE_TENSION,80,int,module-assign,_WANTING_DA = 74 | _REWARD_PE = 75 | _ANTICIPATION = 79,_DISSONANCE_TENSION = 80,_LIKING = 81 | _CONSUMMATION = 83 | _PREDICTION_ERROR = 84,0,,,0
brain/dimensions/pool.py,66,module,_LIKING,81,int,module-assign,_REWARD_PE = 75 | _ANTICIPATION = 79 | _DISSONANCE_TENSION = 80,_LIKING = 81,_CONSUMMATION = 83 | _PREDICTION_ERROR = 84 | _MOMENTUM = 88,0,,,0
brain/dimensions/pool.py,67,module,_CONSUMMATION,83,int,module-assign,_ANTICIPATION = 79 | _DISSONANCE_TENSION = 80 | _LIKING = 81,_CONSUMMATION = 83,_PREDICTION_ERROR = 84 | _MOMENTUM = 88 | _WANTING = 89,0,,,0
brain/dimensions/pool.py,68,module,_PREDICTION_ERROR,84,int,module-assign,_DISSONANCE_TENSION = 80 | _LIKING = 81 | _CONSUMMATION = 83,_PREDICTION_ERROR = 84,_MOMENTUM = 88 | _WANTING = 89 | ,0,,,0
brain/dimensions/pool.py,69,module,_MOMENTUM,88,int,module-assign,_LIKING = 81 | _CONSUMMATION = 83 | _PREDICTION_ERROR = 84,_MOMENTUM = 88,_WANTING = 89 |  | # F7 Motor,0,,,0
brain/dimensions/pool.py,70,module,_WANTING,89,int,module-assign,_CONSUMMATION = 83 | _PREDICTION_ERROR = 84 | _MOMENTUM = 88,_WANTING = 89, | # F7 Motor | _MOTOR_PLAN = 90,0,,,0
brain/dimensions/pool.py,73,module,_MOTOR_PLAN,90,int,module-assign,_WANTING = 89 |  | # F7 Motor,_MOTOR_PLAN = 90,_ENTRAINMENT = 92 | _PULSE_CLARITY = 95 | _CONTEXT_DEPTH = 101,0,,,0
brain/dimensions/pool.py,74,module,_ENTRAINMENT,92,int,module-assign, | # F7 Motor | _MOTOR_PLAN = 90,_ENTRAINMENT = 92,_PULSE_CLARITY = 95 | _CONTEXT_DEPTH = 101 | ,0,,,0
brain/dimensions/pool.py,75,module,_PULSE_CLARITY,95,int,module-assign,# F7 Motor | _MOTOR_PLAN = 90 | _ENTRAINMENT = 92,_PULSE_CLARITY = 95,_CONTEXT_DEPTH = 101 |  | # F8 Learning,0,,,0
brain/dimensions/pool.py,76,module,_CONTEXT_DEPTH,101,int,module-assign,_MOTOR_PLAN = 90 | _ENTRAINMENT = 92 | _PULSE_CLARITY = 95,_CONTEXT_DEPTH = 101, | # F8 Learning | _STATISTICAL_MODEL = 109,0,,,0
brain/dimensions/pool.py,79,module,_STATISTICAL_MODEL,109,int,module-assign,_CONTEXT_DEPTH = 101 |  | # F8 Learning,_STATISTICAL_MODEL = 109, |  | # ── BPM normalization range ──────────────────────────────────────────,0,,,0
brain/dimensions/pool.py,84,module,_BPM_MIN,50.0,float,module-assign," | # ── BPM normalization range ────────────────────────────────────────── | # Calibrated from 240-track dataset: 59-215 BPM, mean 118",_BPM_MIN = 50.0,_BPM_MAX = 220.0 |  | ,0,,,0
brain/dimensions/pool.py,85,module,_BPM_MAX,220.0,float,module-assign,"# ── BPM normalization range ────────────────────────────────────────── | # Calibrated from 240-track dataset: 59-215 BPM, mean 118 | _BPM_MIN = 50.0",_BPM_MAX = 220.0, |  | # ── Dimension compute functions ──────────────────────────────────────,0,,,0
brain/dimensions/pool.py,120,module::def compute_mood,<expr-L>,0.1,float,expr-literal,"wanting = beliefs[:, :, _WANTING] | liking = beliefs[:, :, _LIKING] | ",raw = 0.30 * happy - 0.20 * sad + 0.15 * stability + 0.15 * wanting + 0.10 * liking,"return ((raw - 0.23) * 3.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,120,module::def compute_mood,<expr-L>,0.15,float,expr-literal,"wanting = beliefs[:, :, _WANTING] | liking = beliefs[:, :, _LIKING] | ",raw = 0.30 * happy - 0.20 * sad + 0.15 * stability + 0.15 * wanting + 0.10 * liking,"return ((raw - 0.23) * 3.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,120,module::def compute_mood,<expr-L>,0.15,float,expr-literal,"wanting = beliefs[:, :, _WANTING] | liking = beliefs[:, :, _LIKING] | ",raw = 0.30 * happy - 0.20 * sad + 0.15 * stability + 0.15 * wanting + 0.10 * liking,"return ((raw - 0.23) * 3.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,120,module::def compute_mood,<expr-L>,0.3,float,expr-literal,"wanting = beliefs[:, :, _WANTING] | liking = beliefs[:, :, _LIKING] | ",raw = 0.30 * happy - 0.20 * sad + 0.15 * stability + 0.15 * wanting + 0.10 * liking,"return ((raw - 0.23) * 3.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,120,module::def compute_mood,<expr-L>,0.2,float,expr-literal,"wanting = beliefs[:, :, _WANTING] | liking = beliefs[:, :, _LIKING] | ",raw = 0.30 * happy - 0.20 * sad + 0.15 * stability + 0.15 * wanting + 0.10 * liking,"return ((raw - 0.23) * 3.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,121,module::def compute_mood,<expr-R>,0.5,float,expr-literal,"liking = beliefs[:, :, _LIKING] |  | raw = 0.30 * happy - 0.20 * sad + 0.15 * stability + 0.15 * wanting + 0.10 * liking","return ((raw - 0.23) * 3.0 + 0.5).clamp(0, 1)"," |  | def compute_depth(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,121,module::def compute_mood,<expr-R>,3.0,float,expr-literal,"liking = beliefs[:, :, _LIKING] |  | raw = 0.30 * happy - 0.20 * sad + 0.15 * stability + 0.15 * wanting + 0.10 * liking","return ((raw - 0.23) * 3.0 + 0.5).clamp(0, 1)"," |  | def compute_depth(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,121,module::def compute_mood,<expr-R>,0.23,float,expr-literal,"liking = beliefs[:, :, _LIKING] |  | raw = 0.30 * happy - 0.20 * sad + 0.15 * stability + 0.15 * wanting + 0.10 * liking","return ((raw - 0.23) * 3.0 + 0.5).clamp(0, 1)"," |  | def compute_depth(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,137,module::def compute_depth,<expr-L>,0.25,float,expr-literal,"stat_model = beliefs[:, :, _STATISTICAL_MODEL] | context = beliefs[:, :, _CONTEXT_DEPTH] | ",raw = -0.25 * accuracy + 0.35 * surprise - 0.15 * stat_model + 0.25 * context,"return ((raw - 0.05) * 5.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,137,module::def compute_depth,<expr-L>,0.15,float,expr-literal,"stat_model = beliefs[:, :, _STATISTICAL_MODEL] | context = beliefs[:, :, _CONTEXT_DEPTH] | ",raw = -0.25 * accuracy + 0.35 * surprise - 0.15 * stat_model + 0.25 * context,"return ((raw - 0.05) * 5.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,137,module::def compute_depth,<expr-L>,-0.25,negfloat,expr-literal,"stat_model = beliefs[:, :, _STATISTICAL_MODEL] | context = beliefs[:, :, _CONTEXT_DEPTH] | ",raw = -0.25 * accuracy + 0.35 * surprise - 0.15 * stat_model + 0.25 * context,"return ((raw - 0.05) * 5.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,137,module::def compute_depth,<expr-L>,0.35,float,expr-literal,"stat_model = beliefs[:, :, _STATISTICAL_MODEL] | context = beliefs[:, :, _CONTEXT_DEPTH] | ",raw = -0.25 * accuracy + 0.35 * surprise - 0.15 * stat_model + 0.25 * context,"return ((raw - 0.05) * 5.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,138,module::def compute_depth,<expr-R>,0.5,float,expr-literal,"context = beliefs[:, :, _CONTEXT_DEPTH] |  | raw = -0.25 * accuracy + 0.35 * surprise - 0.15 * stat_model + 0.25 * context","return ((raw - 0.05) * 5.0 + 0.5).clamp(0, 1)"," |  | def compute_focus(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,138,module::def compute_depth,<expr-R>,5.0,float,expr-literal,"context = beliefs[:, :, _CONTEXT_DEPTH] |  | raw = -0.25 * accuracy + 0.35 * surprise - 0.15 * stat_model + 0.25 * context","return ((raw - 0.05) * 5.0 + 0.5).clamp(0, 1)"," |  | def compute_focus(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,138,module::def compute_depth,<expr-R>,0.05,float,expr-literal,"context = beliefs[:, :, _CONTEXT_DEPTH] |  | raw = -0.25 * accuracy + 0.35 * surprise - 0.15 * stat_model + 0.25 * context","return ((raw - 0.05) * 5.0 + 0.5).clamp(0, 1)"," |  | def compute_focus(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,153,module::def compute_focus,<expr-L>,0.15,float,expr-literal,"arousal = beliefs[:, :, _EMOTIONAL_AROUSAL] | capture = beliefs[:, :, _ATTENTION_CAPTURE] | ",raw = 0.35 * gain + 0.25 * pred_error + 0.25 * arousal + 0.15 * capture,"return ((raw - 0.44) * 2.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,153,module::def compute_focus,<expr-L>,0.25,float,expr-literal,"arousal = beliefs[:, :, _EMOTIONAL_AROUSAL] | capture = beliefs[:, :, _ATTENTION_CAPTURE] | ",raw = 0.35 * gain + 0.25 * pred_error + 0.25 * arousal + 0.15 * capture,"return ((raw - 0.44) * 2.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,153,module::def compute_focus,<expr-L>,0.35,float,expr-literal,"arousal = beliefs[:, :, _EMOTIONAL_AROUSAL] | capture = beliefs[:, :, _ATTENTION_CAPTURE] | ",raw = 0.35 * gain + 0.25 * pred_error + 0.25 * arousal + 0.15 * capture,"return ((raw - 0.44) * 2.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,153,module::def compute_focus,<expr-L>,0.25,float,expr-literal,"arousal = beliefs[:, :, _EMOTIONAL_AROUSAL] | capture = beliefs[:, :, _ATTENTION_CAPTURE] | ",raw = 0.35 * gain + 0.25 * pred_error + 0.25 * arousal + 0.15 * capture,"return ((raw - 0.44) * 2.0 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,154,module::def compute_focus,<expr-R>,0.5,float,expr-literal,"capture = beliefs[:, :, _ATTENTION_CAPTURE] |  | raw = 0.35 * gain + 0.25 * pred_error + 0.25 * arousal + 0.15 * capture","return ((raw - 0.44) * 2.0 + 0.5).clamp(0, 1)"," |  | def compute_drive(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,154,module::def compute_focus,<expr-R>,2.0,float,expr-literal,"capture = beliefs[:, :, _ATTENTION_CAPTURE] |  | raw = 0.35 * gain + 0.25 * pred_error + 0.25 * arousal + 0.15 * capture","return ((raw - 0.44) * 2.0 + 0.5).clamp(0, 1)"," |  | def compute_drive(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,154,module::def compute_focus,<expr-R>,0.44,float,expr-literal,"capture = beliefs[:, :, _ATTENTION_CAPTURE] |  | raw = 0.35 * gain + 0.25 * pred_error + 0.25 * arousal + 0.15 * capture","return ((raw - 0.44) * 2.0 + 0.5).clamp(0, 1)"," |  | def compute_drive(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,169,module::def compute_drive,<expr-L>,0.35,float,expr-literal,"beat = beliefs[:, :, _BEAT_SALIENCE] | motor = beliefs[:, :, _MOTOR_PLAN] | ",raw = 0.35 * entrainment + 0.30 * beat + 0.35 * motor,"# Calibrated: median~0.42, spread~0.37 | return ((raw - 0.42) * 2.7 + 0.5).clamp(0, 1) | ",0,,,0
brain/dimensions/pool.py,169,module::def compute_drive,<expr-L>,0.35,float,expr-literal,"beat = beliefs[:, :, _BEAT_SALIENCE] | motor = beliefs[:, :, _MOTOR_PLAN] | ",raw = 0.35 * entrainment + 0.30 * beat + 0.35 * motor,"# Calibrated: median~0.42, spread~0.37 | return ((raw - 0.42) * 2.7 + 0.5).clamp(0, 1) | ",0,,,0
brain/dimensions/pool.py,169,module::def compute_drive,<expr-L>,0.3,float,expr-literal,"beat = beliefs[:, :, _BEAT_SALIENCE] | motor = beliefs[:, :, _MOTOR_PLAN] | ",raw = 0.35 * entrainment + 0.30 * beat + 0.35 * motor,"# Calibrated: median~0.42, spread~0.37 | return ((raw - 0.42) * 2.7 + 0.5).clamp(0, 1) | ",0,,,0
brain/dimensions/pool.py,171,module::def compute_drive,<expr-R>,0.5,float,expr-literal," | raw = 0.35 * entrainment + 0.30 * beat + 0.35 * motor | # Calibrated: median~0.42, spread~0.37","return ((raw - 0.42) * 2.7 + 0.5).clamp(0, 1)"," |  | def compute_tension(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,171,module::def compute_drive,<expr-R>,2.7,float,expr-literal," | raw = 0.35 * entrainment + 0.30 * beat + 0.35 * motor | # Calibrated: median~0.42, spread~0.37","return ((raw - 0.42) * 2.7 + 0.5).clamp(0, 1)"," |  | def compute_tension(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,171,module::def compute_drive,<expr-R>,0.42,float,expr-literal," | raw = 0.35 * entrainment + 0.30 * beat + 0.35 * motor | # Calibrated: median~0.42, spread~0.37","return ((raw - 0.42) * 2.7 + 0.5).clamp(0, 1)"," |  | def compute_tension(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,186,module::def compute_tension,<expr-L>,0.2,float,expr-literal,"dissonance = beliefs[:, :, _DISSONANCE_TENSION] | prep = beliefs[:, :, _CHILLS_PREP] | ",raw = 0.30 * momentum + 0.25 * arousal + 0.25 * dissonance + 0.20 * prep,"return ((raw - 0.35) * 2.5 + 0.5).clamp(0, 1) |  | ",1,chi,,0
brain/dimensions/pool.py,186,module::def compute_tension,<expr-L>,0.25,float,expr-literal,"dissonance = beliefs[:, :, _DISSONANCE_TENSION] | prep = beliefs[:, :, _CHILLS_PREP] | ",raw = 0.30 * momentum + 0.25 * arousal + 0.25 * dissonance + 0.20 * prep,"return ((raw - 0.35) * 2.5 + 0.5).clamp(0, 1) |  | ",1,chi,,0
brain/dimensions/pool.py,186,module::def compute_tension,<expr-L>,0.3,float,expr-literal,"dissonance = beliefs[:, :, _DISSONANCE_TENSION] | prep = beliefs[:, :, _CHILLS_PREP] | ",raw = 0.30 * momentum + 0.25 * arousal + 0.25 * dissonance + 0.20 * prep,"return ((raw - 0.35) * 2.5 + 0.5).clamp(0, 1) |  | ",1,chi,,0
brain/dimensions/pool.py,186,module::def compute_tension,<expr-L>,0.25,float,expr-literal,"dissonance = beliefs[:, :, _DISSONANCE_TENSION] | prep = beliefs[:, :, _CHILLS_PREP] | ",raw = 0.30 * momentum + 0.25 * arousal + 0.25 * dissonance + 0.20 * prep,"return ((raw - 0.35) * 2.5 + 0.5).clamp(0, 1) |  | ",1,chi,,0
brain/dimensions/pool.py,187,module::def compute_tension,<expr-R>,0.5,float,expr-literal,"prep = beliefs[:, :, _CHILLS_PREP] |  | raw = 0.30 * momentum + 0.25 * arousal + 0.25 * dissonance + 0.20 * prep","return ((raw - 0.35) * 2.5 + 0.5).clamp(0, 1)"," |  | def compute_surprise(beliefs: ""Tensor"") -> ""Tensor"":",1,chi,,0
brain/dimensions/pool.py,187,module::def compute_tension,<expr-R>,2.5,float,expr-literal,"prep = beliefs[:, :, _CHILLS_PREP] |  | raw = 0.30 * momentum + 0.25 * arousal + 0.25 * dissonance + 0.20 * prep","return ((raw - 0.35) * 2.5 + 0.5).clamp(0, 1)"," |  | def compute_surprise(beliefs: ""Tensor"") -> ""Tensor"":",1,chi,,0
brain/dimensions/pool.py,187,module::def compute_tension,<expr-R>,0.35,float,expr-literal,"prep = beliefs[:, :, _CHILLS_PREP] |  | raw = 0.30 * momentum + 0.25 * arousal + 0.25 * dissonance + 0.20 * prep","return ((raw - 0.35) * 2.5 + 0.5).clamp(0, 1)"," |  | def compute_surprise(beliefs: ""Tensor"") -> ""Tensor"":",1,chi,,0
brain/dimensions/pool.py,201,module::def compute_surprise,<expr-L>,0.55,float,expr-literal,"pred_error = beliefs[:, :, _PREDICTION_ERROR] | info = beliefs[:, :, _INFORMATION_CONTENT] | ",raw = 0.55 * pred_error + 0.45 * info,"# Calibrated from 50-track dataset: median=0.375, p10-p90=0.34 | return ((raw - 0.375) * 4.0 + 0.5).clamp(0, 1) | ",0,,,0
brain/dimensions/pool.py,201,module::def compute_surprise,<expr-L>,0.45,float,expr-literal,"pred_error = beliefs[:, :, _PREDICTION_ERROR] | info = beliefs[:, :, _INFORMATION_CONTENT] | ",raw = 0.55 * pred_error + 0.45 * info,"# Calibrated from 50-track dataset: median=0.375, p10-p90=0.34 | return ((raw - 0.375) * 4.0 + 0.5).clamp(0, 1) | ",0,,,0
brain/dimensions/pool.py,203,module::def compute_surprise,<expr-R>,0.5,float,expr-literal," | raw = 0.55 * pred_error + 0.45 * info | # Calibrated from 50-track dataset: median=0.375, p10-p90=0.34","return ((raw - 0.375) * 4.0 + 0.5).clamp(0, 1)"," |  | def compute_warmth(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,203,module::def compute_surprise,<expr-R>,4.0,float,expr-literal," | raw = 0.55 * pred_error + 0.45 * info | # Calibrated from 50-track dataset: median=0.375, p10-p90=0.34","return ((raw - 0.375) * 4.0 + 0.5).clamp(0, 1)"," |  | def compute_warmth(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,203,module::def compute_surprise,<expr-R>,0.375,float,expr-literal," | raw = 0.55 * pred_error + 0.45 * info | # Calibrated from 50-track dataset: median=0.375, p10-p90=0.34","return ((raw - 0.375) * 4.0 + 0.5).clamp(0, 1)"," |  | def compute_warmth(beliefs: ""Tensor"") -> ""Tensor"":",0,,,0
brain/dimensions/pool.py,218,module::def compute_warmth,<expr-L>,0.2,float,expr-literal,"liking = beliefs[:, :, _LIKING] | autobio = beliefs[:, :, _AUTOBIOGRAPHICAL] | ",raw = 0.30 * stability + 0.25 * liking + 0.25 * happy + 0.20 * autobio,"return ((raw - 0.38) * 2.5 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,218,module::def compute_warmth,<expr-L>,0.25,float,expr-literal,"liking = beliefs[:, :, _LIKING] | autobio = beliefs[:, :, _AUTOBIOGRAPHICAL] | ",raw = 0.30 * stability + 0.25 * liking + 0.25 * happy + 0.20 * autobio,"return ((raw - 0.38) * 2.5 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,218,module::def compute_warmth,<expr-L>,0.3,float,expr-literal,"liking = beliefs[:, :, _LIKING] | autobio = beliefs[:, :, _AUTOBIOGRAPHICAL] | ",raw = 0.30 * stability + 0.25 * liking + 0.25 * happy + 0.20 * autobio,"return ((raw - 0.38) * 2.5 + 0.5).clamp(0, 1) |  | ",0,,,0
brain/dimensions/pool.py,218,module::def compute_warmth,<expr-L>,0.25,float,expr-literal,"liking = beliefs[:, :, _LIKING] | autobio = beliefs[:, :, _AUTOBIOGRAPHICAL] | ",raw = 0.30 * stability + 0.25 * liking + 0.25 * happy + 0.20 * autobio,"return ((raw - 0.38) * 2.5 + 0.5).clamp(0, 1) |  | ",0,,,0
