function,mechanism,dim_name,region,weight,citation
F1,SDNPS,F0:behavioral_consonance_pred,A1_HG,0.55,Tabas 2019
F1,SDNPS,P2:roughness_interference,STG,0.5,Foo 2016
F1,STAI,P2:aesthetic_response,OFC,0.85,Kim 2019
F1,STAI,M0:aesthetic_value,OFC,0.75,Blood & Zatorre 2001
F1,STAI,E3:vmpfc_ifg_connectivity,IFG,0.8,Kim 2019
F1,STAI,P1:temporal_quality,IFG,0.55,Koelsch 2005
F1,STAI,E0:spectral_integrity,A1_HG,0.8,Kim 2019
F1,STAI,P0:spectral_quality,A1_HG,0.7,Kim 2019
F1,STAI,E2:aesthetic_integration,STG,0.65,Kim 2019
F1,STAI,M1:spectral_temporal_interaction,STG,0.6,Kim 2019
F1,TPIO,P0:pstg_activation,STG,0.8,Halpern 2004
F1,TPIO,f01:perception_substrate,STG,0.65,Zatorre 2005
F1,TPIO,P1:sma_activation,SMA,0.55,Halpern 2004
F1,TPIO,f01:perception_substrate,A1_HG,0.7,Patterson 2002
F1,TPRD,T0:tonotopic,A1_HG,0.85,Briley 2013
F1,TPRD,P0:tonotopic_state,A1_HG,0.7,Briley 2013
F1,TPRD,T1:pitch,A1_HG,0.8,Briley 2013
F1,TPRD,P1:pitch_state,A1_HG,0.65,Norman-Haignere 2013
F1,TPRD,T2:dissociation,STG,0.6,Foo 2016
F2,CHPI,E0:crossmodal_prediction_gain,A1_HG,0.8,Koelsch 2005
F2,CHPI,P0:harmonic_context_strength,STG,0.85,Tillmann 2003
F2,CHPI,P1:crossmodal_convergence,STS,0.8,Calvert 2001
F2,CHPI,F0:next_chord_prediction,IFG,0.75,Koelsch 2005
F2,CHPI,F1:crossmodal_anticipation,STS,0.65,Musacchia 2007
F2,CHPI,P2:voiceleading_smoothness,AG,0.7,Vuust 2022
F2,CHPI,F3:integration_confidence,insula,0.6,Vuust 2022
F2,HTP,E0:high_level_lead,AG,0.8,de Vries & Wurm 2023
F2,HTP,P2:abstract_prediction,STG,0.75,Norman-Haignere 2022
F2,HTP,P0:sensory_match,A1_HG,0.85,Forseth 2020
F2,HTP,P1:pitch_prediction,STG,0.7,Forseth 2020
F2,HTP,P2:abstract_prediction,hippocampus,0.65,Bonetti 2024
F2,HTP,F0:abstract_future_500ms,ACC,0.6,Bonetti 2024
F2,ICEM,E0:information_content,STG,0.85,Cheung 2019
F2,ICEM,P0:surprise_signal,amygdala,0.8,Cheung 2019
F2,ICEM,P1:emotional_evaluation,NAcc,0.75,Salimpoor 2011
F2,ICEM,F0:arousal_change_1_3s,caudate,0.7,Salimpoor 2011
F2,ICEM,E3:defense_cascade,vmPFC,0.65,Harding 2025
F2,ICEM,M1:arousal_pred,OFC,0.6,Chabin 2020
F2,IGFE,E0:igf_match,STG,0.8,Galambos 1981
F2,IGFE,P0:gamma_synchronization,A1_HG,0.85,Galambos 1981
F2,IGFE,P2:memory_access,hippocampus,0.7,Pastor 2002
F2,IGFE,M0:executive_enhancement,dlPFC,0.65,Polanía 2012
F2,IGFE,P1:dose_accumulation,dlPFC,0.6,Herrmann 2016
F2,IGFE,E1:memory_enhancement,SMA,0.55,Bolland 2025
F2,MAA,E0:complexity_tolerance,STG,0.75,Brattico 2013
F2,MAA,P2:aesthetic_evaluation,vmPFC,0.8,Brattico 2013
F2,MAA,M1:appreciation_composite,NAcc,0.65,Greenberg 2015
F2,MAA,M0:framing_effect,OFC,0.7,Brattico 2013
F2,MAA,E1:familiarity_index,hippocampus,0.7,Hargreaves 1984
F2,MAA,P1:context_assessment,amygdala,0.6,Brattico 2013
F2,PSH,E1:low_level_persistence,STG,0.8,de Vries & Wurm 2023
F2,PSH,E0:high_level_silencing,STG,0.75,de Vries & Wurm 2023
F2,PSH,P0:prediction_match,AG,0.8,de Vries & Wurm 2023
F2,PSH,F2:next_prediction,IFG,0.7,Wacongne 2012
F2,PSH,M0:silencing_efficiency,IC,0.65,Carbajal & Malmierca 2018
F2,PSH,M1:hierarchy_dissociation,MGB,0.6,Carbajal & Malmierca 2018
F2,PSH,F0:post_stim_silencing,hippocampus,0.65,Todorovic 2012
F2,PWUP,P0:tonal_precision_weight,STG,0.8,Garrido 2009
F2,PWUP,E0:tonal_precision,A1_HG,0.75,Sedley 2016
F2,PWUP,M1:uncertainty_index,hippocampus,0.7,Quiroga-Martinez 2019
F2,PWUP,P2:attenuated_response,amygdala,0.65,Friston 2005
F2,PWUP,F1:context_uncertainty,NAcc,0.6,Vuust 2022
F2,PWUP,F0:precision_adjustment,vmPFC,0.55,Friston 2005
F2,SPH,E0:gamma_match,A1_HG,0.85,Bonetti 2024
F2,SPH,P0:memory_match,hippocampus,0.8,Bonetti 2024
F2,SPH,P1:prediction_error,ACC,0.75,Bonetti 2024
F2,SPH,E2:hierarchy_position,PMC,0.7,Bonetti 2024
F2,SPH,P2:deviation_detection,STG,0.75,Norman-Haignere 2022
F2,SPH,F1:sequence_completion_2s,IFG,0.6,Rimmele 2021
F2,UDP,E0:uncertainty_level,STG,0.8,Cheung 2019
F2,UDP,P2:reward_computation,NAcc,0.85,Cheung 2019
F2,UDP,F0:reward_expectation,caudate,0.75,Salimpoor 2011
F2,UDP,E1:confirmation_reward,amygdala,0.7,Cheung 2019
F2,UDP,M0:error_reward,hippocampus,0.65,Cheung 2019
F2,UDP,M1:pleasure_index,vmPFC,0.7,Gold 2019
F2,UDP,P2:reward_computation,OFC,0.65,Gold 2019
F2,UDP,P0:context_assessment,SMA,0.6,Koelsch 2019
F2,WMED,E0:entrainment_strength,STG,0.75,Nozaradan 2011
F2,WMED,M0:tapping_accuracy,SMA,0.8,Grahn 2007
F2,WMED,E1:wm_contribution,dlPFC,0.7,Baddeley 2000
F2,WMED,P0:phase_locking_strength,putamen,0.75,Grahn 2007
F2,WMED,F0:next_beat_pred,putamen,0.7,Grahn 2007
F2,WMED,P2:rhythmic_engagement,SOC,0.65,Grahn 2007
F2,WMED,P1:pattern_segmentation,STG,0.6,Noboa 2025
F2,WMED,M1:dissociation_index,STG,0.55,Noboa 2025
F3,AACM,E0:attentional_engage,NAcc,0.8,Brattico 2013
F3,AACM,P0:n1p2_engagement,A1_HG,0.75,Sarasso 2019
F3,AACM,P1:aesthetic_judgment,vmPFC,0.7,Brattico 2013
F3,AACM,M0:aesthetic_engagement,insula,0.7,Brattico 2013
F3,AACM,E2:savoring_effect,ACC,0.65,Brattico 2013
F3,AACM,F2:aesthetic_pred,IFG,0.6,Brattico 2013
F3,AMSS,E2:spectral_stream,A1_HG,0.85,Elhilali 2009
F3,AMSS,E1:harmonic_segregation,A1_HG,0.8,Alain 2007
F3,AMSS,M0:stream_coherence,STG,0.75,Elhilali 2009
F3,AMSS,P0:attended_stream,A1_HG,0.7,Alain 2007
F3,AMSS,P1:competition_state,hippocampus,0.6,Bregman 1994
F3,BARM,E1:beat_alignment,IC,0.8,Skoe 2010
F3,BARM,P0:beat_alignment_accuracy,MGB,0.75,Musacchia 2007
F3,BARM,E0:regularization_tendency,CN,0.7,Skoe 2010
F3,BARM,P1:regularization_strength,A1_HG,0.65,Tierney 2013
F3,BARM,F0:beat_accuracy_pred,STG,0.6,Tierney 2013
F3,DGTP,P0:music_beat_perception,SMA,0.85,Grahn 2012
F3,DGTP,E0:music_timing,putamen,0.8,Grahn 2012
F3,DGTP,M0:domain_correlation,SOC,0.75,Tierney 2017
F3,DGTP,E1:speech_timing,A1_HG,0.7,Tierney 2017
F3,DGTP,P1:domain_general_timing,SMA,0.65,Grahn 2012
F3,DGTP,F0:cross_domain_pred,IFG,0.6,Patel 2011
F3,ETAM,M0:attention_gain,STG,0.85,Grahn 2012
F3,ETAM,E0:early_window,A1_HG,0.8,Tierney 2015
F3,ETAM,E1:middle_window,STG,0.75,Grahn 2012
F3,ETAM,P1:stream_separation,IFG,0.7,London 2012
F3,ETAM,F0:tracking_prediction,SMA,0.65,Grahn 2012
F3,ETAM,M1:entrainment_index,SOC,0.6,Tierney 2015
F3,IACM,E0:inharmonic_capture,AG,0.8,Herrmann 2015
F3,IACM,E1:object_segregation,IFG,0.75,Albouy 2017
F3,IACM,P1:spectral_encoding,STG,0.8,Albouy 2017
F3,IACM,P0:p3a_capture,A1_HG,0.7,Fishman 2001
F3,IGFE,E0:igf_match,A1_HG,0.8,Baltus 2018
F3,IGFE,P0:gamma_synchronization,A1_HG,0.75,Baltus 2018
F3,IGFE,E1:memory_enhancement,hippocampus,0.7,Rufener 2016
F3,IGFE,E2:executive_enhancement,dlPFC,0.7,Rufener 2016
F3,IGFE,E3:dose_response,MGB,0.6,Baltus 2018
F3,NEWMD,E0:entrainment_strength,A1_HG,0.8,Tierney 2014
F3,NEWMD,P0:current_entrain,SMA,0.75,Grahn 2009
F3,NEWMD,M0:paradox_magnitude,putamen,0.75,Grahn 2009
F3,NEWMD,P1:current_wm_load,AG,0.7,Tierney 2014
F3,NEWMD,F1:adaptation_pred,SOC,0.65,Grahn 2009
F3,NEWMD,E1:wm_capacity,dlPFC,0.65,Tierney 2014
F3,PWSM,P0:weighted_error,STG,0.8,Garrido 2009
F3,PWSM,P1:precision_estimate,IFG,0.7,Garrido 2009
F3,PWSM,f19:precision_weighting,insula,0.65,Friston 2005
F3,PWSM,F1:context_reliability,ACC,0.6,Friston 2005
F3,SDL,E0:dynamic_lateral,A1_HG,0.85,Poeppel 2003
F3,SDL,E1:local_clustering,A1_HG,0.85,Zatorre 2002
F3,SDL,M0:lateralization_index,STG,0.8,Zatorre 2002
F3,SDL,P0:dynamic_lateral_p,STG,0.75,Poeppel 2003
F3,SDL,E2:hemispheric_osc,A1_HG,0.7,Poeppel 2003
F3,SDL,P1:hemispheric_engage,AG,0.65,Zatorre 2002
F3,SNEM,P0:beat_locked_activity,STG,0.85,Nozaradan 2011
F3,SNEM,P1:entrainment_strength,STG,0.8,Nozaradan 2011
F3,SNEM,E0:beat_entrainment,A1_HG,0.75,Large 2008
F3,SNEM,P2:selective_gain,insula,0.7,Vuust 2022
F3,SNEM,F0:beat_onset_pred,ACC,0.65,Vuust 2022
F3,STANM,E0:temporal_attention,STG,0.85,Fritz 2007
F3,STANM,E1:spectral_attention,A1_HG,0.8,Fritz 2007
F3,STANM,M0:network_topology_m,IFG,0.75,Bidet-Caulet 2007
F3,STANM,P0:temporal_alloc,dlPFC,0.65,Fritz 2007
F3,STANM,P1:spectral_alloc,AG,0.6,Bidet-Caulet 2007
F3,STANM,M2:lateralization,AG,0.6,Mesgarani 2012
F4,CDEM,P0:binding_state,hippocampus,0.9,Borderie 2024
F4,CDEM,C1:arousal_suppression,amygdala,0.85,Mitterschiffthaler 2007
F4,CDEM,C0:context_modulation,ACC,0.8,Sachs 2025
F4,CDEM,P2:from_synthesis,STG,0.75,Sachs 2025
F4,CDEM,P1:arousal_gate,NAcc,0.7,Mori & Zatorre 2024
F4,CMAPCC,E0:common_code,IFG,0.85,Bianco 2016
F4,CMAPCC,E1:cross_modal_binding,IFG,0.85,Bianco 2016
F4,CMAPCC,P0:pmc_activation,SMA,0.8,Bianco 2016
F4,CMAPCC,M1:transfer_probability,STS,0.75,Moller 2021
F4,CMAPCC,F1:motor_seq_pred,AG,0.7,Bianco 2016
F4,CSSL,E0:rhythm_copying,STG,0.85,Burchardt 2025
F4,CSSL,E1:melody_copying,A1_HG,0.85,Bolhuis 2015
F4,CSSL,P1:template_match,STG,0.8,Eliades 2024
F4,CSSL,E0:rhythm_copying,putamen,0.8,Jarvis 2004
F4,CSSL,P0:entrainment_state,caudate,0.8,Barchet 2024
F4,CSSL,E2:all_shared_binding,hippocampus,0.85,Burchardt 2025
F4,CSSL,F1:binding_prediction,hippocampus,0.75,Burchardt 2025
F4,CSSL,E1:melody_copying,IFG,0.75,Bolhuis 2015
F4,CSSL,F0:learning_trajectory,IFG,0.7,Lipkind 2013
F4,CSSL,P0:entrainment_state,SMA,0.75,Barchet 2024
F4,DMMS,E0:early_binding,hippocampus,0.85,Partanen 2022
F4,DMMS,P0:scaffold_activation,hippocampus,0.8,Nguyen 2023
F4,DMMS,E0:early_binding,amygdala,0.8,Qiu 2025
F4,DMMS,P1:bonding_warmth,amygdala,0.75,Scholkmann 2024
F4,DMMS,E1:dev_plasticity,STG,0.8,Qiu 2025
F4,DMMS,E2:melodic_imprint,STG,0.85,Trehub 2003
F4,DMMS,E1:dev_plasticity,vmPFC,0.75,Qiu 2025
F4,DMMS,F0:scaffold_persistence,vmPFC,0.7,Qiu 2025
F4,DMMS,P1:bonding_warmth,dlPFC,0.7,Scholkmann 2024
F4,HCMC,E0:fast_binding,hippocampus,0.85,Rolls 2013
F4,HCMC,E1:episodic_segmentation,hippocampus,0.75,Billig 2022
F4,HCMC,P2:storage_state,vmPFC,0.8,Liu 2024
F4,HCMC,P0:binding_state,ACC,0.75,Fernandez-Rubio 2022
F4,HCMC,F0:consolidation_fc,hippocampus,0.7,Buzsaki 2015
F4,MEAMN,P0:memory_state,hippocampus,0.9,Janata 2009
F4,MEAMN,E0:f01_retrieval,vmPFC,0.85,Janata 2009
F4,MEAMN,P1:emotional_color,ACC,0.75,Barrett 2010
F4,MEAMN,E2:f03_emotion,amygdala,0.8,Sakakibara 2025
F4,MEAMN,P2:nostalgia_link,STG,0.75,Sakakibara 2025
F4,MMP,R0:preserved_memory,SMA,0.85,Jacobsen 2015
F4,MMP,R0:preserved_memory,ACC,0.8,Jacobsen 2015
F4,MMP,R1:melodic_recognition,AG,0.8,Sikka 2015
F4,MMP,R1:melodic_recognition,STG,0.75,Sikka 2015
F4,MMP,R0:preserved_memory,STG,0.65,Jacobsen 2015
F4,MMP,C2:hippocampal_independence,hippocampus,0.7,Espinosa 2025
F4,MMP,F1:emotional_fc,amygdala,0.7,El Haj 2012
F4,MMP,P0:preserved_recognition,STG,0.65,Espinosa 2025
F4,MSPBA,S2:broca_activation,IFG,0.85,Maess 2001
F4,MSPBA,S0:musical_syntax,IFG,0.85,Maess 2001
F4,MSPBA,S1:harmonic_prediction,IFG,0.8,Patel 2003
F4,MSPBA,P1:violation_state,STG,0.75,Kim 2021
F4,OII,E0:slow_integration,dlPFC,0.8,Bruzzone 2022
F4,OII,E1:fast_segregation,STG,0.8,Sturm 2014
F4,OII,E2:mode_switching,dlPFC,0.85,Samiee 2022
F4,OII,P2:encoding_quality,hippocampus,0.75,Borderie 2024
F4,OII,P1:segregation_state,A1_HG,0.7,Dobri 2023
F4,OII,P0:integration_state,MGB,0.65,Biau 2025
F4,PMIM,P0:eran_response,IFG,0.85,Koelsch 2000
F4,PMIM,P1:mmn_response,STG,0.8,Wagner 2018
F4,PMIM,S2:memory_update,hippocampus,0.75,Bonetti 2024
F4,PMIM,P2:combined_pred_error,ACC,0.7,Bonetti 2024
F4,PMIM,S1:deviance_state,A1_HG,0.65,Fong 2020
F4,PNH,P1:conflict_monitoring,IFG,0.85,Kim 2021
F4,PNH,H1:conflict_monitoring,IFG,0.8,Kim 2021
F4,PNH,P0:ratio_encoding,STG,0.8,Bidelman 2009
F4,PNH,H0:ratio_complexity,STG,0.75,Bidelman 2009
F4,PNH,P2:consonance_preference,A1_HG,0.85,Tabas 2019
F4,PNH,H2:expertise_modulation,dlPFC,0.7,Crespo-Bojorque 2018
F4,PNH,F2:expertise_modulation_fc,AG,0.65,Schon 2005
F4,PNH,F0:dissonance_resolution_fc,ACC,0.7,Kim 2021
F4,RASN,E0:entrainment_strength,SMA,0.85,Grahn 2007
F4,RASN,P0:entrainment_state,putamen,0.8,Grahn 2007
F4,RASN,P1:temporal_precision,SOC,0.8,Harrison 2025
F4,RASN,E1:motor_facilitation,SMA,0.75,Harrison 2025
F4,RASN,P2:motor_facilitation_level,A1_HG,0.7,Nozaradan 2012
F4,RASN,E2:neuroplasticity_index,hippocampus,0.75,Blasi 2025
F4,RASN,F2:gait_improvement_pred,PMC,0.7,Wang 2022
F4,RASN,M1:motor_recovery,SMA,0.65,Blasi 2025
F4,RIRI,E0:multimodal_entrainment,SMA,0.85,Thaut 2015
F4,RIRI,P0:entrainment_state,PMC,0.8,Harrison 2025
F4,RIRI,E1:sensorimotor_integration,SOC,0.8,Ross 2022
F4,RIRI,P0:entrainment_state,putamen,0.75,Harrison 2025
F4,RIRI,P1:motor_adaptation,PMC,0.75,Yamashita 2025
F4,RIRI,F2:consolidation_pred,hippocampus,0.7,Fang 2017
F4,RIRI,F0:recovery_trajectory,vmPFC,0.65,Blasi 2025
F4,TPRD,T0:tonotopic_encoding,A1_HG,0.9,Briley 2013
F4,TPRD,T1:pitch_representation,A1_HG,0.9,Briley 2013
F4,TPRD,T2:dissociation_degree,STG,0.75,Foo 2016
F4,TPRD,P0:tonotopic_state,STG,0.7,Fishman 2001
F4,TPRD,P1:pitch_state,A1_HG,0.85,Norman-Haignere 2013
F4,TPRD,F0:pitch_percept_fc,A1_HG,0.8,Tabas 2019
F4,VRIAP,E0:motor_engagement,SMA,0.85,Liang 2025
F4,VRIAP,E1:pain_gate,PMC,0.85,Liang 2025
F4,VRIAP,E1:pain_gate,insula,0.75,Putkinen 2025
F4,VRIAP,E2:multimodal_binding,hippocampus,0.7,Bushnell 2013
F4,VRIAP,M0:analgesia_index,PMC,0.8,Liang 2025
F4,VRIAP,P0:motor_pain_state,dlPFC,0.75,Liang 2025
F4,VRIAP,F0:analgesia_fc,vmPFC,0.65,Bushnell 2013
F4,VRIAP,M1:active_passive_differential,NAcc,0.7,Putkinen 2025
F4,VRIAP,F0:analgesia_fc,ACC,0.65,Putkinen 2025
F5,AAC,E0:emotional_arousal,amygdala,0.85,Trost 2017
F5,AAC,I0:chills_intensity,insula,0.8,Craig 2002
F5,AAC,A0:scr,hypothalamus,0.85,Bernardi 2006
F5,AAC,E1:ans_response,VTA,0.75,Berntson 1991
F5,CLAM,E0:affective_mod,SMA,0.8,Ehrlich 2019
F5,CLAM,B0:decoded_affect,vmPFC,0.75,Daly 2019
F5,CLAM,P1:valence_tracking,OFC,0.7,Daly 2019
F5,CLAM,F1:modulation_success,NAcc,0.75,Ehrlich 2019
F5,CLAM,C0:control_output,SMA,0.7,Miranda 2011
F5,CMAT,S0:supramodal_valence,vmPFC,0.8,Spence 2011
F5,CMAT,E0:cross_modal,vmPFC,0.75,Palmer et al. 2013
F5,CMAT,T0:binding_temporal,STS,0.8,Spence 2011
F5,CMAT,S2:cross_modal_bind,STS,0.75,Collier & Hubbard 2001
F5,CMAT,P1:aud_valence_contr,A1_HG,0.75,Spence 2011
F5,CMAT,S1:supramodal_arousal,STS,0.65,Spence 2011
F5,DAP,E0:dev_sensitiv,A1_HG,0.85,Trainor 2005
F5,DAP,D2:exposure_history,hippocampus,0.8,Hannon & Trehub 2005
F5,DAP,P0:current_affect,amygdala,0.8,Koelsch 2014
F5,DAP,D1:plasticity_coeff,vmPFC,0.75,Hensch 2005
F5,DAP,P1:familiarity_warmth,vmPFC,0.7,Pereira 2011
F5,DAP,D3:neural_maturation,A1_HG,0.75,Chang & Merzenich 2003
F5,DAP,F0:adult_hedonic_pred,hippocampus,0.65,Janata 2009
F5,DAP,F1:preference_stab,amygdala,0.6,North & Hargreaves 2008
F5,MAA,E0:complexity_tolerance,A1_HG,0.75,Bianco 2020
F5,MAA,E3:appreciation_composite,NAcc,0.8,Cheung 2019
F5,MAA,E2:framing_effect,vmPFC,0.7,Huang 2016
F5,MAA,P2:aesthetic_evaluation,ACC,0.65,Huang 2016
F5,MAA,P1:context_assessment,vmPFC,0.65,Huang 2016
F5,MAA,E1:familiarity_index,STG,0.7,Gold 2019
F5,MAD,P1:preserved_auditory,STG,0.85,Martinez-Molina 2016
F5,MAD,D1:nacc_music_resp,NAcc,0.9,Martinez-Molina 2016
F5,MAD,D0:stg_nacc_connect,TP,0.9,Martinez-Molina 2016
F5,MAD,D2:nacc_general_resp,VTA,0.75,Loui 2017
F5,NEMAC,M0:mpfc_activation,vmPFC,0.85,Janata 2009
F5,NEMAC,M1:hippocampus_activ,hippocampus,0.9,Janata 2009
F5,NEMAC,E1:nostalgia,amygdala,0.8,Barrett 2010
F5,NEMAC,P0:nostalgia_correl,STG,0.75,Sakakibara 2025
F5,NEMAC,P1:memory_reward_lnk,NAcc,0.8,Cheung 2019
F5,PUPF,U2:HS_interaction,amygdala,0.85,Cheung 2019
F5,PUPF,U2:HS_interaction,hippocampus,0.8,Cheung 2019
F5,PUPF,E0:prediction_err,A1_HG,0.75,Cheung 2019
F5,PUPF,P0:surprise_pleasure,NAcc,0.8,Salimpoor 2011
F5,SRP,N0:da_caudate,caudate,0.9,Salimpoor 2011
F5,SRP,N1:da_nacc,NAcc,0.9,Salimpoor 2011
F5,SRP,C0:vta_drive,VTA,0.85,Menon & Levitin 2005
F5,SRP,C1:stg_nacc_coupling,STG,0.8,Salimpoor 2013
F5,SRP,T3:appraisal,OFC,0.75,Huron 2006
F5,STAI,E2:aesthetic_integration,vmPFC,0.85,Kim 2019
F5,STAI,E3:vmpfc_ifg_connectivity,IFG,0.85,Kim 2019
F5,STAI,M1:spectral_temporal_interaction,ACC,0.8,Kim 2019
F5,STAI,P2:aesthetic_response,NAcc,0.8,Blood & Zatorre 2001
F5,STAI,M0:aesthetic_value,caudate,0.75,Menon & Levitin 2005
F5,STAI,P0:spectral_quality,STG,0.8,Koelsch 2014
F5,STAI,E0:spectral_integrity,A1_HG,0.75,Koelsch 2014
F5,STAI,E1:temporal_integrity,MGB,0.7,Menon & Levitin 2005
F5,TAR,E0:therapeutic,amygdala,0.8,Koelsch 2014
F5,TAR,T2:anxiety_reduction,amygdala,0.85,Koelsch 2014
F5,TAR,T3:depression_improv,NAcc,0.8,Chanda 2013
F5,TAR,P0:therapeutic_reward,NAcc,0.75,Chanda 2013
F5,TAR,T0:arousal_mod_tgt,hypothalamus,0.7,Bernardi 2006
F5,TAR,T1:valence_mod_tgt,PAG,0.75,Bernardi 2006
F5,TAR,F1:stress_reduc_pred,hypothalamus,0.65,Chanda 2013
F5,TAR,F0:mood_improv_pred,NAcc,0.7,Koelsch 2014
F5,VMM,R0:happy_pathway,NAcc,0.85,Green 2008
F5,VMM,V0:valence,caudate,0.8,Pallesen 2005
F5,VMM,R3:reward_evaluation,ACC,0.8,Pereira 2011
F5,VMM,R1:sad_pathway,hippocampus,0.85,Mitterschiffthaler 2007
F5,VMM,P1:perceived_sad,amygdala,0.8,Mitterschiffthaler 2007
F5,VMM,R2:parahippocampal,hippocampus,0.75,Blood & Zatorre 2001
F6,DAED,f01:anticipatory_da,caudate,0.9,Salimpoor 2011
F6,DAED,f02:consummatory_da,NAcc,0.9,Salimpoor 2011
F6,DAED,f03:wanting_index,caudate,0.85,Berridge 2007
F6,DAED,f04:liking_index,NAcc,0.85,Berridge 2007
F6,DAED,caudate_activation,caudate,0.9,Salimpoor 2011
F6,DAED,nacc_activation,NAcc,0.9,Salimpoor 2011
F6,IOTMS,E0:mor_baseline_proxy,insula,0.85,Putkinen 2025
F6,IOTMS,E1:pleasure_bold_slope,NAcc,0.85,Putkinen 2025
F6,IOTMS,E2:reward_propensity,ACC,0.8,Mas-Herrero 2014
F6,IOTMS,E3:music_reward_index,STG,0.75,Martinez-Molina 2016
F6,IOTMS,P0:individual_sensitivity_state,MGB,0.7,Putkinen 2025
F6,IUCP,P0:current_preference_state,NAcc,0.8,Gold 2023b
F6,IUCP,E0:ic_liking_curve,STG,0.75,Gold 2023b
F6,IUCP,E2:ic_entropy_interaction,amygdala,0.8,Cheung 2019
F6,IUCP,E2:ic_entropy_interaction,hippocampus,0.75,Cheung 2019
