constant_id,file_path,line_number,name,value,kind,category,reason,citation,verification_method,verification_outcome,verification_source,confidence,escalation_flag,notes,source_agent
F1_00022,brain/functions/f1/beliefs/bch/interval_quality.py,20,_E2_HIERARCHY,2,module-assign,C,"Structural mechanism-output index alias '_E2_HIERARCHY'=2 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module,1
F1_00023,brain/functions/f1/beliefs/csg/consonance_salience_gradient.py,24,_E0_SALIENCE_ACTIVATION,0,module-assign,C,"Structural mechanism-output index alias '_E0_SALIENCE_ACTIVATION'=0 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=csg scope=module,1
F1_00024,brain/functions/f1/beliefs/csg/consonance_salience_gradient.py,25,_M0_SALIENCE_RESPONSE,3,module-assign,C,"Structural mechanism-output index alias '_M0_SALIENCE_RESPONSE'=3 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=csg scope=module,1
F1_00025,brain/functions/f1/beliefs/csg/consonance_salience_gradient.py,26,_P0_SALIENCE_NETWORK,6,module-assign,C,"Structural mechanism-output index alias '_P0_SALIENCE_NETWORK'=6 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=csg scope=module,1
F1_00026,brain/functions/f1/beliefs/csg/consonance_salience_gradient.py,63,<expr-L>,0.3,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=csg scope=module::class ConsonanceSalien,1
F1_00027,brain/functions/f1/beliefs/csg/consonance_salience_gradient.py,61,<expr-L>,0.4,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=csg scope=module::class ConsonanceSalien,1
F1_00028,brain/functions/f1/beliefs/csg/consonance_salience_gradient.py,62,<expr-L>,0.3,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=csg scope=module::class ConsonanceSalien,1
F1_00029,brain/functions/f1/beliefs/miaa/imagery_recognition.py,23,_F2_RECOGNITION_PRED,10,module-assign,C,"Structural mechanism-output index alias '_F2_RECOGNITION_PRED'=10 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module,1
F1_00030,brain/functions/f1/beliefs/miaa/timbral_character.py,28,_E0_IMAGERY_ACTIVATION,0,module-assign,C,"Structural mechanism-output index alias '_E0_IMAGERY_ACTIVATION'=0 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module,1
F1_00031,brain/functions/f1/beliefs/miaa/timbral_character.py,29,_M1_FAMILIARITY_EFFECT,4,module-assign,C,"Structural mechanism-output index alias '_M1_FAMILIARITY_EFFECT'=4 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module,1
F1_00032,brain/functions/f1/beliefs/miaa/timbral_character.py,30,_P0_MELODY_RETRIEVAL,5,module-assign,C,"Structural mechanism-output index alias '_P0_MELODY_RETRIEVAL'=5 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module,1
F1_00033,brain/functions/f1/beliefs/miaa/timbral_character.py,33,_TONALNESS_MEAN,"[14, 5, 1, 0]",module-assign,C,"Structural H³ demand-tuple alias '_TONALNESS_MEAN'=[14, 5, 1, 0]; encodes (r3_idx, horizon, morph, law) addressable address-space identifier, not an empirical value.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module,1
F1_00034,brain/functions/f1/beliefs/miaa/timbral_character.py,34,_SPECTRAL_AUTO_MEAN,"[17, 8, 1, 0]",module-assign,C,"Structural H³ demand-tuple alias '_SPECTRAL_AUTO_MEAN'=[17, 8, 1, 0]; encodes (r3_idx, horizon, morph, law) addressable address-space identifier, not an empirical value.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module,1
F1_00035,brain/functions/f1/beliefs/miaa/timbral_character.py,37,_W_TREND,0.04,module-assign,E,"Belief predict-equation weight '_W_TREND'=0.04 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module,1
F1_00036,brain/functions/f1/beliefs/miaa/timbral_character.py,38,_W_PERIOD,0.03,module-assign,E,"Belief predict-equation weight '_W_PERIOD'=0.03 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module,1
F1_00037,brain/functions/f1/beliefs/miaa/timbral_character.py,39,_W_CTX,0.03,module-assign,E,"Belief predict-equation weight '_W_CTX'=0.03 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module,1
F1_00038,brain/functions/f1/beliefs/miaa/timbral_character.py,57,TAU,0.5,class-attr,E,"Belief class attribute TAU=0.5 — predict-equation inertia coefficient, ENGINEERING-CHOICE (E4) per context_brief §3.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module::class TimbralCharacter,1
F1_00039,brain/functions/f1/beliefs/miaa/timbral_character.py,58,BASELINE,0.5,class-attr,D,"Belief class attribute BASELINE=0.5 — typically 0.5 midpoint identity for the [0,1] output range.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module::class TimbralCharacter,1
F1_00040,brain/functions/f1/beliefs/miaa/timbral_character.py,67,PRECISION_H3_TUPLES,"[[14, 8, 20, 0], [12, 8, 2, 0], [17, 8, 2, 0]]",ann-assign,C,"Annotated structural tuple list PRECISION_H3_TUPLES=[[14, 8, 20, 0], [12, 8, 2, 0], [17, 8, 2, 0]]; encodes per-belief H³ precision address-space identifiers (r3_idx,horizon,morph,law); not empirical values (§6 edge case 5).",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module::class TimbralCharacter,1
F1_00041,brain/functions/f1/beliefs/miaa/timbral_character.py,85,<expr-L>,0.2,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module::class TimbralCharacter,1
F1_00042,brain/functions/f1/beliefs/miaa/timbral_character.py,83,<expr-L>,0.5,expr-literal,E,Engineering mid-point or 50/50 split coefficient in mechanism output blend; no literature anchor for this specific weight.,,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module::class TimbralCharacter,1
F1_00043,brain/functions/f1/beliefs/miaa/timbral_character.py,84,<expr-L>,0.3,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module::class TimbralCharacter,1
F1_00044,brain/functions/f1/beliefs/miaa/timbral_character.py,112,<expr-L>,0.1,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module::class TimbralCharacter,1
F1_00045,brain/functions/f1/beliefs/miaa/timbral_character.py,112,<expr-L>,1.0,expr-literal,D,"Identity-form constant used in inversion/clamp operation; encodes mathematical boundary, not author choice.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module::class TimbralCharacter,1
F1_00046,brain/functions/f1/beliefs/miaa/timbral_character.py,112,<expr-R>,0.1,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=miaa scope=module::class TimbralCharacter,1
F1_00047,brain/functions/f1/beliefs/mpg/contour_continuation.py,23,_F0_PHRASE_BOUNDARY,9,module-assign,C,"Structural mechanism-output index alias '_F0_PHRASE_BOUNDARY'=9 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=mpg scope=module,1
F1_00048,brain/functions/f1/beliefs/mpg/melodic_contour_tracking.py,25,_E1_SEQUENCE_ANTERIOR,1,module-assign,C,"Structural mechanism-output index alias '_E1_SEQUENCE_ANTERIOR'=1 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=mpg scope=module,1
F1_00049,brain/functions/f1/beliefs/mpg/melodic_contour_tracking.py,26,_E2_CONTOUR_COMPLEXITY,2,module-assign,C,"Structural mechanism-output index alias '_E2_CONTOUR_COMPLEXITY'=2 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=mpg scope=module,1
F1_00050,brain/functions/f1/beliefs/mpg/melodic_contour_tracking.py,27,_P1_CONTOUR_STATE,8,module-assign,C,"Structural mechanism-output index alias '_P1_CONTOUR_STATE'=8 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=mpg scope=module,1
F1_00051,brain/functions/f1/beliefs/mpg/melodic_contour_tracking.py,63,<expr-L>,0.25,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=mpg scope=module::class MelodicContourTr,1
F1_00052,brain/functions/f1/beliefs/mpg/melodic_contour_tracking.py,61,<expr-L>,0.45,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=mpg scope=module::class MelodicContourTr,1
F1_00053,brain/functions/f1/beliefs/mpg/melodic_contour_tracking.py,62,<expr-L>,0.3,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=mpg scope=module::class MelodicContourTr,1
F1_00054,brain/functions/f1/beliefs/pccr/octave_equivalence.py,25,_P1_OCTAVE_EQUIV,6,module-assign,C,"Structural mechanism-output index alias '_P1_OCTAVE_EQUIV'=6 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module,1
F1_00055,brain/functions/f1/beliefs/pccr/pitch_identity.py,30,_E1_CHROMA_CLARITY,1,module-assign,C,"Structural mechanism-output index alias '_E1_CHROMA_CLARITY'=1 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module,1
F1_00056,brain/functions/f1/beliefs/pccr/pitch_identity.py,31,_P0_CHROMA_IDENTITY,5,module-assign,C,"Structural mechanism-output index alias '_P0_CHROMA_IDENTITY'=5 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module,1
F1_00057,brain/functions/f1/beliefs/pccr/pitch_identity.py,32,_P2_CHROMA_SALIENCE,7,module-assign,C,"Structural mechanism-output index alias '_P2_CHROMA_SALIENCE'=7 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module,1
F1_00058,brain/functions/f1/beliefs/pccr/pitch_identity.py,35,_PCE_TREND,"[38, 6, 18, 0]",module-assign,C,"Structural H³ demand-tuple alias '_PCE_TREND'=[38, 6, 18, 0]; encodes (r3_idx, horizon, morph, law) addressable address-space identifier, not an empirical value.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module,1
F1_00059,brain/functions/f1/beliefs/pccr/pitch_identity.py,36,_TONAL_PERIOD,"[14, 12, 14, 0]",module-assign,C,"Structural H³ demand-tuple alias '_TONAL_PERIOD'=[14, 12, 14, 0]; encodes (r3_idx, horizon, morph, law) addressable address-space identifier, not an empirical value.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module,1
F1_00060,brain/functions/f1/beliefs/pccr/pitch_identity.py,39,_W_TREND,0.05,module-assign,E,"Belief predict-equation weight '_W_TREND'=0.05 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module,1
F1_00061,brain/functions/f1/beliefs/pccr/pitch_identity.py,40,_W_PERIOD,0.03,module-assign,E,"Belief predict-equation weight '_W_PERIOD'=0.03 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module,1
F1_00062,brain/functions/f1/beliefs/pccr/pitch_identity.py,41,_W_CTX,0.02,module-assign,E,"Belief predict-equation weight '_W_CTX'=0.02 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality+R8-hint,N/A,R8: walker citation_author hint not independently confirming literature derivation,HIGH,False,mech=pccr scope=module,1
F1_00063,brain/functions/f1/beliefs/pccr/pitch_identity.py,54,TAU,0.4,class-attr,E,"Belief class attribute TAU=0.4 — predict-equation inertia coefficient, ENGINEERING-CHOICE (E4) per context_brief §3.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module::class PitchIdentity,1
F1_00064,brain/functions/f1/beliefs/pccr/pitch_identity.py,55,BASELINE,0.5,class-attr,D,"Belief class attribute BASELINE=0.5 — typically 0.5 midpoint identity for the [0,1] output range.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module::class PitchIdentity,1
F1_00065,brain/functions/f1/beliefs/pccr/pitch_identity.py,64,PRECISION_H3_TUPLES,"[[39, 8, 2, 0], [37, 8, 2, 0], [14, 8, 20, 0]]",ann-assign,C,"Annotated structural tuple list PRECISION_H3_TUPLES=[[39, 8, 2, 0], [37, 8, 2, 0], [14, 8, 20, 0]]; encodes per-belief H³ precision address-space identifiers (r3_idx,horizon,morph,law); not empirical values (§6 edge case 5).",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module::class PitchIdentity,1
F1_00066,brain/functions/f1/beliefs/pccr/pitch_identity.py,82,<expr-L>,0.2,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module::class PitchIdentity::d,1
F1_00067,brain/functions/f1/beliefs/pccr/pitch_identity.py,80,<expr-L>,0.55,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module::class PitchIdentity::d,1
F1_00068,brain/functions/f1/beliefs/pccr/pitch_identity.py,81,<expr-L>,0.25,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module::class PitchIdentity::d,1
F1_00069,brain/functions/f1/beliefs/pccr/pitch_identity.py,109,<expr-L>,0.1,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module::class PitchIdentity::d,1
F1_00070,brain/functions/f1/beliefs/pccr/pitch_identity.py,109,<expr-L>,1.0,expr-literal,D,"Identity-form constant used in inversion/clamp operation; encodes mathematical boundary, not author choice.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module::class PitchIdentity::d,1
F1_00071,brain/functions/f1/beliefs/pccr/pitch_identity.py,109,<expr-R>,0.1,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module::class PitchIdentity::d,1
F1_00072,brain/functions/f1/beliefs/pccr/pitch_identity.py,118,<expr-L>,1.0,expr-literal,D,"Identity-form constant used in inversion/clamp operation; encodes mathematical boundary, not author choice.",,code-locality,N/A,N/A,HIGH,False,mech=pccr scope=module::class PitchIdentity::d,1
F1_00073,brain/functions/f1/beliefs/pnh/conflict_assessment.py,14,<expr-L>,0.5,expr-literal,E,Engineering mid-point or 50/50 split coefficient in mechanism output blend; no literature anchor for this specific weight.,,code-locality,N/A,N/A,HIGH,False,mech=pnh scope=module::class ConflictAssessme,1
F1_00074,brain/functions/f1/beliefs/pnh/consonance_preference.py,15,TAU,0.35,class-attr,E,"Belief class attribute TAU=0.35 — predict-equation inertia coefficient, ENGINEERING-CHOICE (E4) per context_brief §3.",,code-locality,N/A,N/A,HIGH,False,mech=pnh scope=module::class ConsonancePrefer,1
F1_00075,brain/functions/f1/beliefs/pnh/consonance_preference.py,16,BASELINE,0.5,class-attr,D,"Belief class attribute BASELINE=0.5 — typically 0.5 midpoint identity for the [0,1] output range.",,code-locality,N/A,N/A,HIGH,False,mech=pnh scope=module::class ConsonancePrefer,1
F1_00076,brain/functions/f1/beliefs/pnh/consonance_preference.py,18,PRECISION_H3_TUPLES,"[[0, 8, 2, 0], [4, 8, 2, 0], [3, 8, 2, 0]]",ann-assign,C,"Annotated structural tuple list PRECISION_H3_TUPLES=[[0, 8, 2, 0], [4, 8, 2, 0], [3, 8, 2, 0]]; encodes per-belief H³ precision address-space identifiers (r3_idx,horizon,morph,law); not empirical values (§6 edge case 5).",,code-locality,N/A,N/A,HIGH,False,mech=pnh scope=module::class ConsonancePrefer,1
F1_00077,brain/functions/f1/beliefs/pnh/consonance_preference.py,23,h3_features.get.arg0,"[0, 8, 18, 0]",call-posarg0,C,"Structural tuple argument [0, 8, 18, 0] encoding (r3_idx, horizon, morph, law) H³ address-space identifier; not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=pnh scope=module::class ConsonancePrefer,1
F1_00078,brain/functions/f1/beliefs/pnh/consonance_preference.py,20,<expr-L>,0.6,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=pnh scope=module::class ConsonancePrefer,1
F1_00079,brain/functions/f1/beliefs/pnh/consonance_preference.py,20,<expr-L>,0.4,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=pnh scope=module::class ConsonancePrefer,1
F1_00080,brain/functions/f1/beliefs/pnh/consonance_preference.py,23,<expr-L>,0.02,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=pnh scope=module::class ConsonancePrefer,1
F1_00081,brain/functions/f1/beliefs/pnh/consonance_preference.py,23,<expr-L>,0.05,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=pnh scope=module::class ConsonancePrefer,1
F1_00082,brain/functions/f1/beliefs/pnh/consonance_preference.py,23,<expr-L>,0.1,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=pnh scope=module::class ConsonancePrefer,1
F1_00083,brain/functions/f1/beliefs/pnh/consonance_preference.py,23,<expr-L>,1.0,expr-literal,D,"Identity-form constant used in inversion/clamp operation; encodes mathematical boundary, not author choice.",,code-locality,N/A,N/A,HIGH,False,mech=pnh scope=module::class ConsonancePrefer,1
